"Geneid" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam"
"(GAAA)n" 5.4 7.33 14.25 14.3 2 14.1 0.67 7.8 6.12 15.7 9.4 2 43 12.6 21.33 6 13.02 22.2 9.9 12.53 21.33 0 35.33 21.65
"L1Md_T" 4430.29 26232.11 9738.27 4976.02 16011.31 35072.24 18770.03 63916.85 37932.6 145154.92 34602.64 26610.2 42379.86 21939.34 9854.68 7450.24 11706.55 12028.12 14591.7 13914.5 18757.49 4668.53 21224.21 7490.61
"L1Md_F2" 11373.1 24685.79 23366.05 25131.77 20624.77 26558.14 41711.75 80118.44 32355.18 73379.82 55600.71 47215.52 64299.65 36029.92 30850.28 10835.54 21684.23 63730.55 38989.74 46309.85 88931.99 54565.41 33573.01 25870.25
"MTC" 577.15 303.72 987.2 1040.68 630.25 977.21 809.07 740.85 648.9 938.45 274 595.38 716.58 270.62 703.45 840.6 926.26 1112.06 957.05 1039.13 1392.66 448.16 1769.96 802.72
"L1MD1" 22 28.33 7 15 5 45.5 3 27.5 25 51 5 97 47 24 46 6.5 28 30 29 43 33.83 36 81 19
"Lx" 374.21 189.22 627.25 591.38 271.72 572.56 511.55 612.47 405.58 607.45 186.05 511.3 599.35 178.15 358.6 563.85 470.97 561.17 534.47 647.23 748.58 231.4 1000.28 428.5
"Lx2" 2188.66 1835.1 5337.4 3256.62 4546.68 4578.39 3527.79 1341.69 3161.71 4011.8 1188.22 3122.35 4140.56 1163.35 5042.22 2965.59 6218.76 7685.31 4027.38 2764.93 3184.39 1695.23 10439.67 5062.96
"L1VL4" 145 98.5 321.2 210.71 140.5 157.88 245.23 173.32 133.7 249.48 94.2 303 210.47 125.53 258.93 140.77 129.53 253.72 173.07 106.75 180.23 102.13 259.21 119.75
"L1MB3" 74 72.5 183.2 83 82 135.33 171 143 87.5 153.7 69 233 165.83 44 101 63 91.5 205.83 126 53 137.67 83 237.67 90.33
"L1Md_F" 63.47 35.58 66.38 157.3 44.6 135.18 31.25 122.48 118.27 139.92 30.02 133.37 119.55 59.53 82.2 130.2 125.58 138.33 122.93 187.2 297.1 73.13 246.95 132.65
"(CA)n" 243.3 141.02 556.92 310.53 134.58 431.67 469 335.82 282.68 438.8 182.65 180.63 289.08 129.17 348.82 226.73 313.9 296.63 301.78 322.33 405.78 88.28 561.23 175.78
"(GA)n" 35 19.7 79.6 65.4 33.7 71.65 105.7 23.2 44.17 45.35 22.6 54.37 71.3 31.53 24 46.75 68 58 93.63 48.5 110.8 35 116.23 11.2
"PB1D10" 794.23 613.7 1164.17 859.55 793.18 1126.57 936.87 952.62 871.35 1357.28 553.2 1086.47 1233.68 412.7 659.75 669.13 773.82 1152.62 942.8 784.98 1124.45 501.73 2224.2 1011.7
"Lx8" 775.78 603.37 1294.55 1299.73 687.98 1344.35 910.2 1190.88 888.65 1256.13 357.7 970.73 1057 422.37 533.2 1009.82 1064.82 1343.97 1171.75 1104.5 1736.23 667.7 2274.12 986.83
"MT2B" 325.25 132.9 524.7 770.03 180.33 633.65 610.5 547.2 313.5 644.1 101.15 146.6 330.47 89.5 337.7 804.42 524.02 659.2 787.8 649.77 914.85 302.25 1158.13 762.4
"RMER15" 773.9 246.63 992.43 1329.78 515.53 1046.56 1358.45 639.9 678.23 763.57 179.6 251.9 450.23 240.57 551.57 1069.41 1137.36 1300 996.66 1026.9 1592.31 686.45 1800.83 848.57
"(CAGA)n" 64 14.2 110.3 40.73 53.9 98.98 27.1 28.93 41.8 53.25 20.75 29.5 54.15 9.63 21 36.8 53.28 78.7 53.45 41.17 58.13 6.4 133.93 51.1
"L1ME4b" 17 22.5 22 15 14 44.67 118 29 14.5 46 9 59 43 2 40 10 12.5 25 26 29.33 41.5 5 52.5 19.67
"PB1" 135.45 128.05 293.53 218.6 174.53 236.92 144.2 181.85 162.87 198.33 75.9 198 270.87 150.7 317.2 89.53 174.12 289.75 191.33 205.9 195 164.2 390.67 203.8
"ID4_" 1484.55 862.3 945.5 1077.93 9950.61 1221.23 1361.08 545.8 1350.8 893.07 194.23 1268.33 761.6 266.2 1596.8 758.31 1489.88 2031.93 1281.66 2738.98 1179.38 1507.35 2462.68 1989.83
"L1MC1" 57.33 53 92 63 79 106.17 77 90 56 135 40 220 118 48.33 59 75 63.17 141 72.5 57.5 68.1 19.8 141.37 92.5
"(TTA)n" 6 5.6 16 14 10.93 21.9 0 19 7 19.5 4 40 23.33 7 3.67 4 12.33 43 6.2 10 15 0.7 35.4 26.2
"RMER1B" 81.95 77.57 147 120.37 98.03 142.97 116 86.2 116.4 128.6 64 138 133.95 59.93 87.6 97.38 110.8 80.67 92.97 95.27 116.67 79.27 205.13 81.33
"MIR3" 554.67 201 860.57 1043.5 521 889.57 1324 646.5 578.5 807.6 220 279 541.8 256.8 722 970 889.7 970.5 813.53 833 1429.25 330 1705.1 690.33
"AT_rich" 543.05 344.73 898.87 800.13 690.15 963.7 1274 965.6 548.52 1303.53 372.52 1804.37 1154.63 433.53 1228 689 633.28 1576.95 1214.87 982.4 1987.97 711.1 1690.03 906.22
"B3" 2421.38 1772.86 3880.94 3360.68 2658.9 3923.08 1986.25 3022.23 2465.03 4092.98 1350.55 3061.8 3761.88 1256.15 2920.95 2476.06 2811.64 3613.76 3029.66 3089.38 4181.38 1705.53 6827 2532.96
"(TC)n" 58.13 13.5 33.8 106.25 40.75 108.2 13 48.4 57.7 65.27 17.2 26.5 42.85 25.93 13.2 107.73 70.23 64.6 63.07 108.3 122.53 40 138.13 116
"MTE2a" 387.88 163.4 575.27 643.43 315.4 687.93 614.33 512.57 398.62 574.67 167 326.5 504.97 232.77 427.78 594.2 484.05 432.83 476.08 616.53 992.47 279.2 1053.78 504.35
"RLTR13D5" 0 6.5 0 11.8 3 12.98 0 4.75 13.5 17.95 0 6.4 5 0 20 0.2 5.2 22.4 6.7 5.6 12.2 22 17.5 35
"Lx4B" 78.1 31.37 121.37 175.87 74.7 174.53 480.8 113.88 102.98 97.02 31.95 74.8 72.45 39 189.5 130.6 153.65 79.6 119.52 100.6 258.67 40.5 338.37 126.35
"RLTR42-int" 11 25.1 32 30.5 2 34 0 32 28 61 22 36 32 46 35 28.5 33.7 34 26.5 19 51.4 0 67.6 14.5
"B1_Mur4" 360.78 297 893.36 629.47 604.17 694.33 644.35 619.13 482.08 758.78 330.88 636.9 766.5 227.38 407.85 437.37 581.35 683.25 671.12 482.2 673.62 230.98 1466.75 580.15
"RMER15-int" 174 69 205.67 399.5 110 301.17 544.33 218.5 184.08 248 69.08 105.5 149.67 61 89 304.87 323 275.67 261.67 305.9 514.56 210 575.5 278.83
"RLTR17B_Mm" 1505.96 241.8 2116.78 1277.58 772.92 1477.78 785.23 508.17 540.18 582.42 127.65 141.5 255.43 187.27 475.48 512.7 820.27 885.93 865.93 1003.68 1334.13 454.43 1917.8 747.77
"L1_Mus2" 418.03 176.72 456.7 673.98 316.46 566.16 783.48 554.23 378.63 564.86 148.4 552.46 511.63 203.52 248.05 534.58 466.13 452.42 527.75 499.86 806.43 366.83 1075.46 314.65
"L2" 294.33 152.5 578.83 415.37 246.67 477.95 402 262.1 267.5 568 119.5 442 386 213 191.5 335.83 331.17 324 344.25 387.5 613.63 162.5 765.83 228.5
"Charlie1a" 543 107.83 556 1061.33 348.5 711.83 1169 605.33 459.33 566 115.33 188.25 304 242.33 626 857.5 647.5 991 518 836.67 1338 289 1117.92 525.5
"L1MA5" 72.67 36.2 59 31.45 37.5 88.7 16 87.2 64 83 20 168.8 150.73 13 45 16 57.03 126.5 57 29.95 55.8 66 130 53
"(TTG)n" 29.43 22.1 35.6 18.98 4.2 29.2 18 25.2 12.25 58.4 9.2 99.7 26.75 26 0 6.6 19.43 62.6 16.83 7.8 20.57 18 40.13 11.6
"(T)n" 74.4 34.6 206.75 236 104.97 183.87 332.3 116.45 99.98 179.33 27.8 129.95 138.58 63.65 326 273.27 167 225.7 250.07 214.4 388.53 145.08 318.43 271.87
"GA-rich" 87.2 82.18 161.13 125.28 52.1 148.47 128.6 226.53 93.43 230.92 150.25 224.97 151.23 97.48 154.2 85.58 138.17 141.13 118.42 91.4 206.72 87.05 242.6 162.45
"(TTTTA)n" 6 5 9 9 1 7 1.25 5 2 3 0 11 4 10 0 2 5.27 5 6 0 12.2 1 3 3
"B1_Mus2" 443.98 361.28 1007.85 554.1 439.42 711.43 404.45 667.75 523.25 888.28 324.27 683.95 746.78 248.75 728.38 457.5 553.7 899.7 597.98 491.93 821.95 254.92 1353.25 596.55
"L1_Mus1" 255.55 178.08 293.47 334.37 219.97 364.93 495.18 371.02 256.47 473.53 172.38 588.25 479.03 124.52 318 174.62 270.8 350.23 311.93 257.47 409.05 263.12 650.71 302.23
"L1_Mur3" 2266.91 3982.3 4868.07 2667.27 6935.33 4822.42 8259.83 4265.26 4548.99 9247.95 1327.39 8898.11 11189.31 4539.62 5161.35 1890.43 4655.02 8315.66 2941.58 2715.23 3545.57 1276.42 6253.04 2113.36
"L1_Mus4" 212.78 110.95 230.22 221.27 83.33 228.88 447.93 198.3 173.32 382.47 103.6 318.38 260.6 94.93 109.78 202.92 174.53 227.9 215.52 178.05 272.32 111.33 374.05 207.13
"L1MD3" 63.5 11 131.8 146 50.5 93 43 77 78 93.25 25 46.5 77 20 48 113.5 107 91 98 99 144 37 170 57
"B2_Mm2" 788.26 762.11 1293.95 1082.23 862.28 1295.25 1143.72 1513.66 1780.96 1645.91 717.07 1462.08 1629.5 672.97 865.33 726.9 1059.35 1209 1210 1053.55 1383.5 520 2411.53 909.03
"B1_Mur3" 590.06 352.36 825 644.31 527.76 786.08 471.33 573.75 584.86 792.01 352.06 552.6 715.46 496.86 601.63 419.6 579.15 852.83 671.92 531.03 729.88 439.98 1176.81 522.73
"RLTR34C_MM" 2.33 3 3 9.33 0.33 9.67 0 8 5.67 7 1 0 10 0 0 1.67 7.33 7.13 5 21 7.13 2.33 11.4 1
"B3A" 1736.07 1239.23 2730.83 2089.42 2166.25 2368.82 2298.57 1712.35 1768.68 2608.38 1220.2 2205.62 2305.47 1128.45 2123.05 1664.48 1962.88 3254.12 2159.32 1913.48 2641.18 1097.2 4529.48 2309.8
"L1Md_A" 74.5 65.45 155.15 99.75 116.43 97.53 136.05 176.28 163.12 341.65 151.9 104.73 153.2 137.7 104.7 54.78 99.67 105.07 103.7 129.95 136.2 54.55 194.15 66.6
"ID_B1" 1815.43 1146.27 2844.2 2465.08 1867.4 2771.85 2740.1 2117.67 1967.62 2757.38 862.42 2417.23 2356.38 854.63 1922.3 1838.57 2058.76 2701.96 2206.27 2540.75 3060.06 1244.98 4827.66 1882.55
"ORR1D2" 512.95 176.1 704.43 954.12 429.05 698.57 420 633.15 527.62 544.03 161.5 199.9 403.07 240.83 447.6 824.95 717.28 618 555.63 741.28 1303.67 379 1261.22 535.43
"Lx7" 328.8 375.72 803.13 488.93 402.67 809.2 813.9 894.3 577.03 1267.93 560.08 965.77 941.8 414.93 556.42 494.05 486.92 795.68 629.75 690.05 897 291.8 1270.88 465.58
"Lx3B" 55.9 54 85.83 57.02 73.85 73.02 166.65 76.05 46.87 72.43 30.12 66.65 112.47 38.93 61.6 56.92 46.63 93 71.5 83.45 96.92 45.77 133.82 57.37
"L2c" 7848.25 1964 12599 9540.25 5875.5 13562.75 4476.17 5221.5 4790.25 4396.42 1201.5 783 2251.2 1180 6149.5 6700 7722.47 6861.5 7471.42 8331.33 13176.95 7564.83 17430.83 9469.83
"RLTR14" 99.33 33 91 151.83 61.5 128.4 404 101 62.37 147.67 36 63 50 28 107 100 97.3 123 113.4 116 208.5 31 243.03 112
"B1_Mur1" 723.68 511.93 1622.5 932.38 725.48 1429.93 560.8 885.03 631.8 1161.23 352.88 922.88 913.48 362.7 938.45 727.72 816.33 1059.78 911.57 800.3 1136.97 622.93 2128.85 776.53
"MER5B" 1193.5 340.5 2135.5 1497 1107 2054.45 808 812.5 751 614.3 225.5 177 355 123 1236 1027.5 1023.5 828 1150.5 1365 1693.5 1021 2628.1 2403
"MIR" 892.63 454.17 1253.83 1463.73 768.83 1281.68 1364.5 1088.8 801.83 1182 361 988.5 1006.83 428 844 829.4 1075.6 1096.17 1002.67 1049.8 1729.92 520.67 2068.3 1085.25
"Lx9" 950.05 390.32 1136.67 1664.72 829.33 1504.33 2161.17 1102.37 959.78 1386.93 332.13 821.57 1017.65 383.33 1053.5 1289.03 1079.82 1519.17 1244.58 1015.37 2110.68 602.33 2514.6 974.6
"RMER4A" 58.2 33.8 119.47 152.5 68.63 104.98 112 83.4 61.03 78.8 35 73.9 114.3 30 142.67 133 113 116.1 128.1 86 190.3 41.33 225.67 108
"RMER10A" 435.27 108 712 870.7 320 843.9 659 715.5 526.87 580.5 176 173 332.85 156 563 904 705 766 791 641.4 1333 366.6 1530 872.73
"T-rich" 41.1 34.13 171.33 107.68 25 113.87 141.2 107.43 66.9 155.62 39 181.58 154.2 46.9 81.67 154.18 108.27 195.48 165.48 83.55 249.13 85 183.75 89.08
"(CACAC)n" 2 0 0 0 0 1 0 0 0.6 0 0 0 0 0 0 0 0 0 0 11 2.2 0 1.5 0
"L1MEg1" 0 0 0 5 0 1 0 3 0 3 1 0 0 0 0 0 1.5 0 1 0 1 0 5 0
"LTR16E2" 3 2 7 3 1 1.5 0 1 8 2 0 2 6 0 8 0 1 0 5 0 9 2 5 0
"ORR1D1" 298.48 165.43 582.85 622.8 271.13 579.58 506.2 434.7 365.45 489.95 151.23 410.5 485.27 144.6 313.6 578.08 488.42 519.12 512.63 383.83 751.98 221.65 1012.18 410.25
"(TTTG)n" 24.73 37.1 62.4 42.4 34.9 109.63 134 217.7 132.48 778.3 64 128.4 128.53 158 144.5 60.9 48.8 91.7 72.23 72.7 149.2 30.33 107.38 48.5
"ORR1A2" 179.53 136.2 247.98 226.77 142.4 233.27 267 226.48 179.27 283.75 134.58 278 298.23 71.77 289.93 166.97 224.27 278.57 201.27 218.4 262.83 66.53 480.41 140.52
"PB1D9" 324.55 282.75 636.57 410.7 353.13 579.7 411.9 491.58 368.75 762.38 231.4 498.3 650.08 244.5 368.57 314.7 404.33 503.8 511.97 388.48 571.38 204.68 1050.83 497.28
"B4" 829.85 1467.5 1405.77 1443.08 1987.45 1783.15 1371.98 1487 1892.96 2293.86 765.45 1885.22 1849.08 929.91 1267.97 1008.27 1492.4 1719.27 1388.3 1698.9 1511.3 569.28 2959.23 1086
"MLT2B4" 1 10 27 6 12 18 0 15 14.5 21 6 61 19.2 0 0 7 6 36 11 12 11 0 43 19
"B4A" 1753.13 1354.9 3060.41 2604.2 1936.88 3082.96 1924.3 2243.55 1927.4 2679.26 1055.1 2195.21 2511.68 1233.8 1945.98 1929.83 2551.63 2578.44 2397.99 2246.25 3175.79 1454.11 4992.02 2183.48
"MTC-int" 56.13 44.2 96.13 43.5 82.7 71.27 86.5 57.87 47.4 115.2 30 31.2 145.13 32.22 25.2 28 61.95 110.33 52.58 10.7 104 15.6 162.73 40.7
"Lx3_Mus" 119.83 91.55 197.53 124.8 115.95 188.12 148.7 159.55 131.07 224.73 74.05 289.08 204.75 46.35 107.38 89.62 111.55 173.97 155.75 131.53 222.43 81.2 352.18 146.23
"RMER19C" 4.13 13.7 20 44.8 5.5 36.6 21.4 21 20.1 56.4 12.4 52.5 25 5.2 31.8 27 34.07 32.6 35.02 38.4 75.67 14.2 64 35
"MTD" 718.15 529.77 1168.77 1232.43 657.47 1316.28 1562.2 931.03 806.13 1198.32 353.82 973 1071.08 291.52 1080.7 794.38 976.85 1137.8 1115.97 973.87 1499.28 513.73 2164.18 794.78
"MLT1A" 30 51 56.33 28.2 56 66.2 1 52.5 45.5 87.5 29 77.4 60 4 98.2 55 31.5 77.5 66 16 47.5 46.5 89 54
"MT2B1" 204.73 78.1 346.8 490.08 164.6 342.03 352.5 304.47 253.3 229.93 81.7 160.33 198.63 73.8 493.3 492.68 360.2 307.37 303.73 273.07 525.57 128.5 589.97 295.97
"RMER6BA" 8 4.2 4 7.5 19 11 1 7 9.47 4 0.5 4 8.6 1 0 6 13.8 4.53 12.67 0 9.4 5 14.67 21
"4.5SRNA" 767.71 1004.07 2185.73 990.02 1194.32 2178.13 1097.99 1928.38 1419.15 4215.68 1401.12 1025.39 1950.32 817.14 1458.76 884.78 1616.74 1498.35 1635.27 1596.95 2085.98 513.68 4298.93 1152.07
"A-rich" 31 26.25 66.53 64.87 86.32 88.88 88.28 93.45 38.58 94.2 35.92 145.43 84.77 18.15 79.23 44.37 53.3 141.07 97.18 57.58 100.1 33.52 161.13 79.6
"L1MA6" 212 84.33 326 390.03 117 415.53 230 286 223.33 280.5 51.2 170 210 80 127 337 353.4 375.5 330.5 271.83 524.75 263 646.7 327
"(TAGA)n" 32 19 67.67 50.4 4 65.4 0.4 75.6 38.6 90.1 30.05 51.8 82.13 15 0 36.95 32.9 39.6 46.4 86.52 33.97 24.8 98.7 36.6
"(TGG)n" 31.4 11 51.75 47.33 4.4 41.68 107 18.6 23.3 5.33 18.8 13.3 29.53 27 62 10 59.87 40 35.85 36.47 63.53 27.65 27.85 17.4
"MTE-int" 99 39.87 199.5 155.83 96.33 196.53 267 155.83 119.6 204.92 34.67 110 145 76.5 101 121.33 124.7 251 140.23 104.7 235.87 101 333.95 98
"RMER6C" 73.55 40.3 151.87 166.23 62.8 150.93 301.75 122.15 123.2 105.92 47.4 90.4 98.53 54.6 61.3 239.92 168.87 142 158.72 188.8 324.13 133 309.6 139.85
"MT2A" 155.47 67.2 84.67 137.1 123.63 139.18 84 142.6 107.67 172.42 69.07 186.87 149.87 68.03 139.33 119.5 101.47 135.87 149.53 113.63 169.47 72 282.53 87.23
"Lx5" 201.63 140.65 327.1 307.53 214.27 381.18 576.43 274.5 214.7 332.33 131.92 339.85 308.7 103.8 223.62 229.57 244.63 390.15 379.72 216.53 402.05 171.45 650.62 239.9
"RSINE1" 1547.68 1434.37 2763.63 2044.58 1813.22 2477.53 2171.68 1931.22 2066.73 2742.78 1328.75 3485.92 3360.27 1037.18 2038.95 1490.48 1849.25 2126.4 2031.65 1698.75 2450.6 955.83 4256.63 1939.03
"ID2" 68.85 32.85 111.7 94.35 76.95 103.9 66.43 52.9 63.22 124.63 25.33 51.3 96.6 16.2 132.1 71.25 105.57 129.25 110.08 97.43 126.03 91.13 176.03 77.23
"MER58A" 32 62 56 30.8 72.5 82.5 25 94.5 39 120.67 48 147 109.5 40 63 24 52.5 113 69.5 68.6 53 40 154.25 47
"(CATA)n" 871.05 161.53 1402.4 751.1 660.73 661.45 78 458.1 312.98 236.37 69.13 94.7 147.45 80.7 240.3 403.7 428.98 450.1 562.63 1022.1 871.3 394.8 674.55 518.63
"LTR16A" 8 6 12.67 9.67 31 24.17 31 26 5.5 5 3 6.33 29 27 0.67 0 11.67 18 9.33 14 5 11 17.67 2
"(TCTG)n" 26.3 20.95 36.27 18.17 9.73 38.68 0.85 24.45 21.83 91.8 24 9 47.25 1 23.8 38.27 36.4 76.2 48.33 27.4 52.48 30.8 80.78 15.8
"ID4" 319.8 223.2 538.38 442.92 428.7 590.98 814.3 422.42 317.57 414.7 183.37 544.1 398.63 134.05 413.02 263.38 347.93 464.2 423.37 529.28 370.5 432.15 846.03 434.6
"Lx5b" 168 52.52 214.9 189.95 176.2 181.9 95.5 140.1 126.9 207.8 62.13 146.5 140.33 57.33 239.87 141.83 159.1 167.77 193.58 148.97 222.15 59 325.45 98.72
"MER34" 5 5 7 0 7 5 0 8 6 1 3 1 2 0 0 0 7 0 3 6 2 0 20 0
"MamGypLTR1a" 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1.6 4
"L1MC" 698.4 281.33 1215.66 1289.5 590.33 1152.92 1705.17 1065.5 790.25 1608.67 578.5 308.67 810.57 492.83 596.67 1061.83 975.83 976.87 1013.87 1145.83 2073.33 571.67 2132.26 854
"L1M5" 320 193 362.6 402.93 282.2 418.87 485 466.5 249.5 432.28 113.33 414.25 512.5 144 218 315 253.4 554.5 374.13 310.03 469.83 185 640.35 297.5
"ORR1B2" 62.55 48.42 169.6 95.42 49.3 122.43 1.4 94.33 89.25 122.22 38.8 65.2 96.55 27.13 62.15 71.3 91.85 112.05 82.2 40.22 83.75 50.75 222.58 102.1
"Lx5c" 891.52 242.83 811.45 1442.3 654.83 1099.3 1421.71 1066.22 695.18 883.5 176.83 430.8 594.02 298.53 723.07 1128.08 922.93 837 736.47 1273.4 2067.03 405.9 1806.91 811.08
"PB1D7" 278.57 211.57 633.55 368.78 196.65 519.78 1122.83 397.77 325.8 458.7 163.3 560.4 445.52 185.6 389.1 313.13 358.58 463.25 423.05 424.65 470.52 133.35 899.4 424.93
"CT-rich" 127.47 80.22 305.65 119.77 47.23 194.6 111.87 131.88 101.63 160.52 95 135.6 130.6 68.57 164.65 191.62 171.43 163.63 122.02 125.4 265.42 49.53 334.4 110.85
"ORR1C1" 72.58 56.9 80.2 81.9 71.63 142.17 17.2 86 77.57 162.5 59.4 130 133.3 34 34 82.95 86.9 60.4 83.48 80.4 96.5 25.63 181.17 85.33
"B1F" 702.88 508.25 1173.33 863.72 776.47 1148.22 1056.83 850.43 674.07 1063.77 441.3 1166.8 964.27 406.68 760.55 638.3 854.63 887.75 873.75 910.48 994.32 457.5 1766.9 730.65
"L1Md_F3" 739.01 826.95 1585.47 1561.14 1537.18 1356.96 866.1 743.18 1659.68 1014.95 1153.76 1577.61 1531.54 721.56 1117.83 637.95 1883.89 1400.41 1472.51 1268.53 1310.66 852.38 3231.42 1268.11
"(CAAA)n" 26.9 24.6 107.67 54.93 31.6 57.02 1 52.33 18.5 67.6 20.2 79.2 97.6 16.2 76 56.33 48.87 99.4 64.07 69.4 79.85 30.5 109.47 33.73
"PB1D11" 149.8 117.23 316.43 205.72 265.45 279.6 271.3 243.8 159.5 213.67 108.35 235.6 432.7 108.5 230.05 136.95 205.82 223.95 263.2 230 229.32 127.9 550.63 207.73
"B1F1" 340.3 248.4 532.35 551.45 315.53 566.08 567.83 439.03 408.17 558.58 202.97 512.1 490.22 106.53 290.9 406.52 402.12 545.78 552.83 483.7 623.47 187.73 969.4 446.8
"(TAAA)n" 19.9 6.6 30 42.03 30 29.2 44 36.23 23.3 42.13 20.13 73.1 64.43 5.3 44 42 33.93 78.23 42.2 83.27 86.05 32.53 55.7 40.6
"(CAG)n" 93 51.03 113.33 204.83 43.4 159.88 35 95.5 77.28 138.12 52.5 31.33 66.83 72.5 162 71.5 131.05 25 73 117.25 154.22 32 229.35 62
"(TAA)n" 9.5 7.2 36 15.83 5 17.5 33 18.5 15.5 36 11 53.4 24.67 17 100.33 14 12.33 61 27.67 41.75 42 2 20.23 14
"L1_Mur2" 152.42 99.43 321.7 296.8 150.5 247.12 334.88 269.47 159.12 432.03 89.62 295.55 342.15 144.97 230.38 212.73 193.6 381.7 259.95 202.88 303.25 98.33 515.12 151.62
"(TGGA)n" 15.8 4 29.1 19.65 11.8 29.9 0 24.2 26.5 41.65 14.2 8 13 0 2 32.7 21 1 16.63 18.8 36.57 0 28.6 16
"L1M3" 40.5 65 56 88.28 40.5 112.45 73 124.5 65.7 119.4 74 187.9 120.92 109 63 42 53.12 72 71.75 70.4 73.85 127.5 176.25 39
"MLT1C" 111.8 69 270.8 254.9 147.5 266 451.5 141 190.5 266.33 52.5 229.25 163.5 34 119 170 194.5 247 194.67 207 381.9 133.5 461.9 156
"(TTTTG)n" 24.5 19.23 46.4 111.33 55.13 131.73 217.5 87.7 59.4 137.97 10 27.2 97.17 35.4 65 114.83 75.18 57.67 82.12 90.5 153.35 44.6 213.8 82.33
"MIRc" 4754.06 571.42 2091.63 3119.13 1269.92 3459.57 2579 1713.27 1425.92 2086.5 505.58 537.5 1187.55 529.12 1971.27 2273.68 2393.38 4608.75 2602.37 1991.08 3827.7 2258.68 5957.6 4091.08
"L1MB7" 150.2 100.2 178 123.5 180 230.57 211.5 155.2 153.83 294.2 127.67 374 251.5 43 248 138.2 142.5 315.67 170.62 159.6 195.9 95 427.67 130.5
"MLT1A0" 423.5 107.5 492.5 894.5 282.5 772.78 1503 636.5 449.83 674 130 169 310.95 251 574 985 736.5 580 675 614.7 1096 288 1345.9 693.5
"ORR1C2" 235.65 102 239.85 295.4 139.75 454.25 306.6 192.05 217.6 278.93 100.77 139.4 253.4 106.67 232 164.07 223.83 327.9 238.67 165.7 397.25 130.1 697.38 304.07
"MIRb" 1444.17 577 1637.47 2638.02 1181.92 2334.32 2841.5 1796.43 1425.93 1578.53 492.17 1096 1359.83 624 1572.23 1895.78 1927.32 1995.47 1812.47 1849.17 3047.52 944.45 3786.47 1471.17
"Mam_R4" 0 5.5 0 0 0 0 0 0 11 1 0 15 0 0 31 7 0 0 2 0 0 0 4 0
"MTE2a-int" 11 4 0 1 4 5 0 4 3 12 0 21 11 0 0 3.33 4 4.5 3.25 5 1.5 20 12 11
"(GGGGA)n" 0 0 0 0 0 0 0 1 3.2 0.8 0 0 1 0 0 0 0.9 0 0 0 1 0 0 7
"(CATATA)n" 68.9 14.53 108.17 66.07 52.23 117.37 7.67 28.72 36.5 27.57 9 7.3 27.27 18.13 30.5 23.73 77.57 133.75 66.73 71.77 132.07 30.5 176.52 56.17
