# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "piRNA" "-g" "ID" "-s" "0" "-M" "--fraction" "-a" "merge_mm10_piRNAcluster1.gff3" "-o" "counts_piRNA_cluster_s0.txt" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam" 
Geneid	Chr	Start	End	Strand	Length	1.sam	2.sam	3.sam	4.sam	5.sam	6.sam	7.sam	8.sam	9.sam	10.sam	11.sam	12.sam	13.sam	14.sam	15.sam	16.sam	17.sam	18.sam	19.sam	20.sam	21.sam	22.sam	23.sam	24.sam
17-qC-59	chr17	50237659	50247541	+	9883	29	1	21	53	11	37	0	19	32	20	5	0	5	2	0	57	25	80	36	35	33	51	52	12
17-qC-935	chr17	49112271	49113511	-	1241	361	45	248	736	159	467	143	260	298	157	77	18	125	83	332	698	483.50	313	471	534	988	235	1104	424
17-qE1-7037	chr17	66206812	66231758	+	24947	2114.42	333.32	3027.85	5250.46	1402.33	3523.75	3986.55	2519.60	2219.43	2229.77	494.45	248.43	1109.48	696.42	2588.23	4490.12	3452.95	3136.08	2957.75	3339.72	6860.90	1591.30	6090.20	3128.52
18-qE1-1295	chr18	67066588	67084379	+	17792	349.82	64.60	395.77	664.27	290.38	508.00	829.40	435.15	306.83	382.07	67.88	41.20	158.65	58.23	321.15	616.20	554.75	527.42	429.07	533.08	927.23	317.35	859.80	444.05
18-qE1-36451	chr18	67029447	67066460	-	37014	10561.35	1806.98	12367.93	23042.40	7079.00	15659.88	21628.78	12420.13	10551.85	9938.27	2252.95	1493.05	5787.58	3955.08	10543.53	19404.62	15349.33	14592.20	13353.32	16272.70	28994.97	7503.30	27349.95	12735.05
19-qC2-1361	chr19	37254674	37263866	-	9193	614	123	978	2041	293	772	867	502.50	1050	846	252	71.50	251	468	431	1138.50	1010.50	726	859.40	1408	1294	620	1311	846
2-qE1-35981	chr2	92541142	92609144	+	68003	8728.32	1527.30	10684.52	19484.67	5551.67	13155.82	16724.10	9653.52	8397.65	8235.30	1874.15	1263.60	4352.00	3028.37	8669.50	16559.37	13453.60	11915.32	11485.57	13608.10	24945.27	6087.17	22908.05	11072.37
2-qE5-4	chr2	120692589	120715137	+	22549	3	14	18	7	19	13	0	19	13	15	6	1	23	2	10	10	10	0	13	23	2	12	19	23
2-qF1-2536	chr2	127691854	127703711	+	11858	513.70	110.20	721.20	1098.70	335.00	739.33	874	598	477.23	347.83	124.20	47	247.20	152	253	819	781.20	606	715.13	732	1229.03	382	1283.70	603.33
2-qG3-1029	chr2	151127448	151158594	+	31147	957.75	204.43	1211.78	2581.11	777.90	1636.03	2042.68	1221.76	1086.93	1215.53	247.12	192.92	605.91	487.20	1045.81	2052.03	1672.99	1555.23	1639.61	1782.61	3398.54	967.03	2901.99	1373.93
3-qA2-617	chr3	20402672	20506199	-	103528	153	39	111	340.40	136	270.90	386	164.10	156	127.25	33.20	36.75	67.70	107	138.60	265.50	223.50	150.40	194	166	427.50	146	395.37	233.30
3-qA3-2052	chr3	34826631	34879283	+	52653	665.40	95.60	863.07	1364.93	388.20	840.60	1150	644.40	550.80	652.00	119	100	281.20	250	648.60	935.20	869.90	763.00	795.30	952.90	1768.00	314.80	1460.60	560.60
4-qB3-277	chr4	62231006	62239341	+	8336	814	141.83	1135.67	1976.42	584.00	1392	2164	891	824	857	164.50	117.50	404.33	274.50	1068.50	1795	1382.33	1514	1166.00	1270.33	2380.67	542.00	2464.42	1166
4-qB3-3994	chr4	57356531	57364266	-	7736	1035	144	1185	2267	605	1564	1591	1271	1008	1099.50	208	197	550.70	329	1396	1842	1549.75	1309	1134	1437.50	2754.50	603	2660	1143
4-qB3-639	chr4	62220598	62230936	-	10339	1316	213.83	1966.67	3238.42	971.00	2280.20	2938	1478	1369	1491	335.50	259.50	755.33	512.50	1547.50	2757	2180.33	2069	1740.33	2142.33	3658.17	770.00	4146.42	1778
4-qC5-17839	chr4	94280152	94331623	-	51472	5500.48	966.20	6192.30	12570.52	4031.70	8807.07	12813.95	6215.82	5311.80	6053.80	1134.75	794.10	2701.83	2068.90	5284.17	10450.83	8102.42	8188.60	7346.00	8305.40	15611.63	3834.77	15060.43	6620.40
4-qD2-2182	chr4	123833625	123841966	-	8342	815.50	143.75	686.03	1427.95	511.50	952.07	573	799.50	655.73	734.17	173.50	110.20	335.33	246.50	1003	1297.17	939.37	831.83	729.73	1057.17	1818.52	557	1683.45	691.50
4-qD2-349	chr4	123892083	123896600	-	4518	93	25	146	269	82	146.50	394	150	95	161	25	6	68	21	37	233	162	108	116	137	298	64	312	141
4-qD3-2082	chr4	135626796	135630198	+	3403	585	106	851	1426	529	962	874	707	677	536	124	62	359	195	650	1042	1072	847	794	1045	1957	557	1762	861
5-qF-14224	chr5	113340138	113376874	+	36737	3489.72	578.83	4009.83	7621.38	2325.08	5613.86	5876.50	3671.93	3350.85	3438.27	819.62	467.67	1694.53	1208.65	3404.80	6560.18	5498.38	4866.07	5041.18	5214.75	9583.46	2794.83	10510.73	4657.27
5-qF-14508	chr5	113320455	113340095	-	19641	3631.90	680.40	4852.53	8704.48	2353.23	5995.72	8754.07	4623.82	3821.42	4384.87	913.98	581.85	2179.90	1449.23	3707.20	7923.43	5885.77	5256.53	5309.65	5719.27	10586.38	2420.85	10631.67	5361.07
5-qF-4633	chr5	114828520	114853587	-	25068	2165.90	456.50	2976.13	4782.88	1526.60	3557.61	3732.88	2504.40	2331.10	2143.36	613.17	325.38	1255.91	762.22	2674.08	4221.10	3727.71	3009.98	3067.70	3057.70	5939.61	1762.76	6996.67	3270.71
5-qG2-2301	chr5	143758379	143768596	+	10218	572	86.70	742.20	1157	281	786.67	1172	597.50	525.50	527.33	126	66.50	234.50	177	500	968	798.95	841.83	693.70	672	1356.70	256.20	1472.53	685.50
5-qG2-950	chr5	136919146	136937112	+	17967	629.11	233.75	1044.57	729.75	572.99	732.74	730.66	369.03	504.58	502.36	161.25	265.50	361.06	170.75	599.74	535.16	827.88	790.33	646.11	537.25	975.84	365.00	1280.29	470.08
5-qG3-23659	chr5	149790072	149831589	-	41518	5876.72	1085.93	7239.95	14224.75	4243.87	9449.88	11744.40	6889.70	6109.58	6611.10	1484.37	908.25	3362.93	2306.10	6885.75	12144.97	9786.08	9589.20	8265.78	9050.50	16890.92	4272.40	17831.78	7683.50
6-qC3-100	chr6	83575941	83590341	+	14401	162	23	252.30	345.90	121	250.33	337.50	190.50	156	169.00	45.50	26.50	76.33	70	188	293.60	259.27	341.80	212.50	241.33	428.90	66.50	462.25	177.83
6-qC3-2394	chr6	85985215	86003606	-	18392	695.67	140.57	698.67	1579.17	515.00	1124.33	1880.83	785.67	755.67	818.50	162.67	110.50	392.00	289.50	738	1194.53	1129.87	1097.50	815.17	1128.50	1825.20	410.50	1997.08	726.83
6-qC3-6258	chr6	81893818	81911839	-	18022	1639	263.50	2149	4125.33	1171.50	2849	3783	1950.50	1729.20	1958	432	271	917.50	548	1976	3123.50	2585.75	2749.33	2326.67	3109.50	5282	1320	4907.33	2249
6-qD1-2831	chr6	87962456	87994167	-	31712	613.17	84.67	759	1533.83	470.67	1026.92	1168	765.53	650.83	539.25	161.20	103	332.00	307	592	1227.73	1041.95	908.17	861.32	1131.60	1847.93	354.50	1876.57	823.67
6-qF3-1063	chr6	128438800	128506907	+	68108	366.80	66.00	406.25	782.75	239.00	622.50	537	365.00	401.00	403.00	88.00	29	142.35	112.00	466.00	521.50	545.00	385.00	492.00	532.00	1026.95	358.00	961.25	294.50
6-qF3-28913	chr6	127796431	127841890	+	45460	5902.52	998.70	7978.83	14288.23	4498.28	9935.90	13937	7053.52	6434.58	6354.87	1351.50	870	3206.28	2243.55	6345.42	12553.40	9690.90	9579.60	8749.95	9269.75	18165.02	4814.83	17701.90	7494.43
6-qF3-3040	chr6	128169705	128200582	-	30878	1029.17	154.83	1236.50	2264.50	622.33	1555.00	1546.50	1019.00	951.17	997.00	230.00	194.67	546.83	255.33	695.00	1847.77	1446.67	1036.67	1213.33	1319.33	2770.78	641.00	2541.53	1054.00
6-qF3-8009	chr6	127776076	127796372	-	20297	2217.50	363.00	2696.60	4937.50	1601.00	3617.50	3643.00	2488.00	2488.67	2260.50	475	168	1182.50	720.00	2481.00	4284.50	3542.00	3092.00	3021.00	3107.00	6432.33	1510	6132.00	2781.00
7-qB5-6255	chr7	52887607	52913867	+	26261	1101.13	181.33	1333.23	2339.30	766.33	1692.45	3930	1290.50	1215.12	1551.03	290.53	163.40	549.50	425	2360.50	1984.37	1700.52	2390.27	1583.40	1721.23	3028.55	758.70	2869.55	1260.63
7-qD1-16444	chr7	69909764	69966359	+	56596	3026.83	491.20	3538.33	6843.60	1685.53	4904.97	5903	3503.33	2875.33	3078.40	619.20	420	1401.90	1037.70	2942	5851	4582.67	4435.60	3960.70	4625	8768.50	2017	8253.48	3920.07
7-qD1-19431	chr7	73105312	73146779	+	41468	4638.50	835.95	5648.50	10312.05	2780.33	7597.68	9975.33	5366.45	4609.67	4599.42	1048.70	710	2306.75	1776	4623.50	8361.03	7216.28	6724	6313.42	7275.20	13649.85	3257	13106.78	5466.70
7-qD1-654	chr7	73097826	73105273	-	7448	205.33	30	298.23	470.65	142	355.67	163	241	179	180	30.20	56	119.33	91.10	218	379.50	276	245	293	368.50	666.07	152	504.50	296.80
7-qD1-9417	chr7	69874210	69909583	-	35374	2997.40	528.20	3156.40	5773.23	1870	4085.50	4814.50	3483.80	2795	2764.67	557.40	369	1346	1189	2626	4568.20	3780.43	3626	3328.37	3979	7103.10	1876.00	6803.30	3059.50
7-qD2-11976	chr7	73816595	73838894	+	22300	2357.73	441.20	3657.10	6015.88	1808.20	4108.82	7699.25	2844.53	2584.08	2279	548.90	359	1206.90	930.90	2973	4652.20	4177.80	3740.90	3591.27	4066.00	7656.90	1768.92	7714.50	3537.30
7-qD2-24830	chr7	73773917	73816469	-	42553	6123.30	989.03	7260	13919.53	3956.50	9532.23	11753.50	6725.12	6048.80	5991.72	1341.20	919.70	3142.47	2312.93	6116.50	10956.00	9380.93	9001.57	8118.32	9340.32	17336.65	3801.47	16708.07	7249.23
7-qD2-40	chr7	75769042	75782107	-	13066	31	5	76.50	25.70	31	50	75	38	18	50.20	14	19	34	21	0	15	22.00	47	25.40	37.60	42	20	53.20	25
7-qF3-246	chr7	125349871	125364820	+	14950	35	15	107	99.25	23	66.33	173	39	39.17	58	6	0	14	4	33	111	69.57	33	69.40	90	159.33	17	143.80	43
7-qF3-3125	chr7	125316893	125349772	-	32880	1008.40	185.50	1202.20	2168.70	760.50	1602.53	2095	969.60	1003.70	1143.50	256.33	126.20	536.90	418	958.00	1559	1520.60	1282.90	1463.70	1737.80	2795.10	642.20	2756.80	1194.20
8-qA2-343	chr8	27293077	27296288	-	3212	199.85	27.83	314.20	537.20	104.75	376.58	337	250.53	201.33	198.25	64.17	28	98.67	38.17	217.50	469.65	321.15	352.67	300.58	302.82	600.73	156.50	570.20	274.25
8-qA4-155	chr8	37103898	37105508	-	1611	115.25	16.33	134.40	244.78	50.75	181.12	258.00	158.07	145.33	151.08	31.50	0	49.87	43.50	94	220.12	208.00	130.17	190.08	199.35	304.23	53.00	278.53	139.25
8-qA4-332	chr8	37088935	37094955	-	6021	198.68	37.50	330.40	499.52	146.35	329.62	368.50	199.88	245.07	268.82	60.33	31	116.15	66.83	166.50	299.32	333.75	383.10	250.37	390.90	569.33	198.00	520.48	264.42
8-qC5-2209	chr8	93409942	93427377	-	17436	629.20	113.20	971	1537.17	445	1096.73	1989	773.50	597	632.30	191.50	122	459.70	257.90	546	1287.90	1084.95	964	915.30	1039	2021.97	446.87	1928	876.00
8-qC5-8200	chr8	92189460	92194416	+	4957	2069.50	318	2181.50	4272	1080	3166	3363	1834	1907.50	1700	427	223.00	905.50	695	1759	3492.33	3157.50	2827.50	2285.50	2605.50	5043.33	1350	5454.50	2307.50
8-qE1-3748	chr8	110117666	110132456	+	14791	867.75	135.20	1100.00	1865.82	590.50	1287.25	1719.20	928.40	895.68	900.40	171.50	152	418.60	346.50	869.80	1603.00	1478.95	1200.20	1141.75	1398.90	2341.73	539	2439.10	1155.60
9-qA1-178	chr9	3181784	3199792	-	18009	49.90	11	48.25	140.23	50.30	133.23	138	73.28	66.95	101.33	10.70	7	44.20	17	125.00	110.50	120.63	64.75	105.15	175.10	207.48	93.80	214.27	109.80
9-qA5-1495	chr9	54249946	54277638	+	27693	420.17	72	536.00	921.30	331	670.27	268	376.57	431.98	351.17	102	58	193.53	136.20	520	806.88	556.70	586.00	512.33	572.50	1090.68	253.67	1200.40	438.10
9-qA5-24188	chr9	54207174	54249823	-	42650	6562.17	1041.20	7453.60	14773.60	4072.50	10659.73	11933.20	7422.50	6612.83	6979.57	1476.70	992	3560.42	2557.50	6121.37	12560.48	10077.57	9558.47	8669.83	9896.23	18992.32	4237.90	18304.72	7886.25
9-qC-10667	chr9	67733945	67760929	+	26985	3034.13	543.12	3124.33	6593.65	2054.42	4522.57	7664.53	3492.40	2893.15	3223.22	616.72	458.50	1487.62	1241.17	3285.90	5713.83	4716.75	4647.42	3937.87	4955.75	8568.15	2161.17	7937.05	3919.23
9-qC-31469	chr9	67691252	67733786	-	42535	8676.97	1446.90	10135.50	20513.80	5916.80	14166.95	18383.17	10740.20	8958.90	8943.73	1959.93	1206.40	4637.65	3343.25	8504.20	16485.92	13567.35	12988.40	11952.40	13715.80	25828.88	5739.70	23631.02	10743.00
9-qF4-150	chr9	122780673	122805469	-	24797	50.20	9	35	94.33	13	80.30	62	60	51	69	15	0	28.50	8	0	116.33	80	77	57.73	86	157.10	37	125.87	66
pi-1700006A11Rik	chr3	124398083	124425991	-	27909	405.20	80	609	1103.20	336	790.50	993	614	504	515	102.50	81	249	201	807	927.50	837	978	766	748	1449.50	376	1460	620
pi-1700016M24Rik	chr15	74606029	74636770	-	30742	29	11	30	105	32	45	53	42	32	45	6	6	26	15	42	93.20	84	19.60	31	23.40	82	3	90.40	74
pi-Abl2	chr1	156558073	156649619	+	91547	29	16.33	58	58	17	59.75	119	42	51.50	86.50	13	13	31.50	17	32	25.20	38	51	36	42	55.53	8	94.40	9
pi-Acvr2b	chr9	119402286	119441914	+	39629	8	3	1	14	5	9.60	0	7	1	19	3	14	4	0	0	0	3.50	14	14	0	0	0.80	14.60	0
pi-Ankrd11	chr8	122883089	123042254	-	159166	73.25	53	66.27	64	51	124.72	18.20	71.20	68.90	106.40	69.20	130	118.20	28	144.60	37.50	51.70	115.20	76.62	63	77.40	29	195.00	71.60
pi-Arhgap20	chr9	51765299	51853665	+	88367	168	37	278	449.20	188.50	374	418	255	199.33	327.00	64	82	145	54	252	423.50	308	419.40	280.50	402	627.75	127	580.25	281
pi-Asb1	chr1	91540016	91559583	+	19568	194	56	224	633.50	216	456	958	339	279	297.50	64	23	167	97	280.33	515	467.50	524.40	382	374	732	180	745	270.50
pi-Atxn1l	chr8	109726650	109737749	-	11100	5	5	38	20	0	10	0	41	11	14	2	9	15	6	31	40	17	0	21	25	33	17	44	10
pi-BC026590	chr4	56802349	56809597	+	7249	51	2	14	61.58	16	58.75	101	54.25	56.08	43.75	7	28	20.45	4	0	56	50.33	20	49.58	41	123.17	8	124.10	37.42
pi-Bcl2l13	chr6	120836212	120892841	+	56630	16	6	20.40	44.33	8.20	23.70	49	29	25.83	39.20	6	45	16	0	0	31	32.20	33	21	42	73.20	5	54.50	27
pi-Bend4	chr5	67392150	67428120	-	35971	1	8	15	9.25	0	11	0	5	4	3	3	6	2	11	0	9	5	12	1	0	6	0	15.50	9
pi-Cbfa2t2	chr2	154436484	154539356	+	102873	46	20.50	53.20	30.50	61.10	48.50	67	58	25.50	35.50	12	7.20	60.83	2	1	17.60	41.08	48	30.83	21	53.60	31.50	77.60	40.10
pi-Cbl	chr9	44142979	44233996	-	91018	531.67	124	543.50	1290.20	405	921.35	1178	669	556.10	595	122	122.33	272.73	227.50	468.50	1021.20	742.73	760.23	649.57	722.20	1609.57	272	1369.83	496.65
pi-Cbx5	chr15	103191553	103240756	-	49204	70.80	73	195.70	139.87	132.25	158.25	315	108	92.28	136.00	49.50	60	60.20	61	122.20	82.67	77.40	138.50	108.70	67.40	172.90	27	174.90	108
pi-Ccdc117	chr11	5528890	5542201	-	13312	63	11	69	143	42	100	162	79	44	27	8	9	59	32	51	114	116	103	107	106	204	65	145	47
